university,code
işik üni̇versi̇tesi̇ (i̇ngilizce),88
işık ü.,88
işık üniversitesi,88
i̇bn haldun ü.,89
i̇bn haldun üniversitesi,89
i̇bn haldun üni̇versi̇tesi̇,89
i̇bn haldun üni̇versi̇tesi̇ (i̇ngilizce),89
i̇bn haldun üni̇versi̇tesi̇***,89
"i̇hsan doğramaci bi̇lkent 
üni̇versi̇tesi̇",90
i̇hsan doğramaci bi̇lkent üni̇versi̇tesi̇,90
i̇hsan doğramaci bi̇lkent üni̇versi̇tesi̇ (i̇ngilizce),90
i̇hsan doğramacı bilkent ü.,90
i̇hsan doğramacı bilkent üniversitesi,90
i̇nönü ü.,91
i̇nönü üniversitesi,91
i̇skenderun teknik ü.,92
i̇skenderun teknik üniversitesi,92
"i̇stanbul 29 mayis 
üni̇versi̇tesi̇",93
i̇stanbul 29 mayis üni̇versi̇tesi̇,93
i̇stanbul 29 mayıs ü.,93
i̇stanbul 29 mayıs üniversitesi,93
i̇stanbul arel ü.,94
i̇stanbul arel üniversitesi,94
i̇stanbul arel üni̇versi̇tesi̇,94
i̇stanbul arel üni̇versi̇tesi̇  (i̇ngilizce),94
i̇stanbul arel üni̇versi̇tesi̇ (i̇ngilizce),94
i̇stanbul atlas ü.,95
i̇stanbul atlas üniversitesi,95
i̇stanbul atlas üni̇versi̇tesi̇,95
i̇stanbul atlas üni̇versi̇tesi̇***,95
i̇stanbul aydin üni̇versi̇tesi̇,96
i̇stanbul aydin üni̇versi̇tesi̇  (i̇ngilizce),96
i̇stanbul aydin üni̇versi̇tesi̇ (i̇ngilizce),96
i̇stanbul aydın ü.,96
i̇stanbul aydın üniversitesi,96
"i̇stanbul ayvansaray 
üni̇versi̇tesi̇",97
i̇stanbul ayvansaray üni̇versi̇tesi̇,97
i̇stanbul ayvansaray üni̇versi̇tesi̇***,97
i̇stanbul ayvansayar ü.,97
i̇stanbul ayvansayar üniversitesi,97
i̇stanbul bilgi ü.,98
i̇stanbul bilgi üniversitesi,98
i̇stanbul bi̇lgi̇ üni̇versi̇tesi̇,98
i̇stanbul bi̇lgi̇ üni̇versi̇tesi̇  (i̇ngilizce),98
i̇stanbul bi̇lgi̇ üni̇versi̇tesi̇ (i̇ngilizce),98
"i̇stanbul esenyurt 
üni̇versi̇tesi̇",99
i̇stanbul esenyurt ü.,99
i̇stanbul esenyurt üniversitesi,99
i̇stanbul esenyurt üni̇versi̇tesi̇,99
i̇stanbul galata ü.,100
i̇stanbul galata üniversitesi,100
i̇stanbul galata üni̇versi̇tesi̇,100
i̇stanbul galata üni̇versi̇tesi̇***,100
i̇stanbul gedik ü.,101
i̇stanbul gedik üniversitesi,101
i̇stanbul gedi̇k üni̇versi̇tesi̇,101
i̇stanbul gelişim ü.,102
i̇stanbul gelişim üniversitesi,102
i̇stanbul geli̇şi̇m üni̇versi̇tesi̇,102
i̇stanbul geli̇şi̇m üni̇versi̇tesi̇ (i̇ngilizce),102
i̇stanbul kent ü.,103
i̇stanbul kent üniversitesi,103
i̇stanbul kent üni̇versi̇tesi̇,103
i̇stanbul kent üni̇versi̇tesi̇ (i̇ngilizce),103
i̇stanbul kent üni̇versi̇tesi̇***,103
i̇stanbul kültür ü.,104
i̇stanbul kültür üniversitesi,104
i̇stanbul kültür üni̇versi̇tesi̇,104
i̇stanbul kültür üni̇versi̇tesi̇ (i̇ngilizce),104
i̇stanbul medeniyet ü.,105
i̇stanbul medeniyet üniversitesi,105
i̇stanbul medipol ü.,106
i̇stanbul medipol üniversitesi,106
"i̇stanbul medi̇pol 
üni̇versi̇tesi̇",106
i̇stanbul medi̇pol üni̇versi̇tesi̇,106
i̇stanbul medi̇pol üni̇versi̇tesi̇  (i̇ngilizce),106
i̇stanbul medi̇pol üni̇versi̇tesi̇ (i̇ngilizce),106
i̇stanbul okan ü.,107
i̇stanbul okan üniversitesi,107
i̇stanbul okan üni̇versi̇tesi̇,107
i̇stanbul okan üni̇versi̇tesi̇  (i̇ngilizce),107
i̇stanbul okan üni̇versi̇tesi̇ (i̇ngilizce),107
i̇stanbul rumeli ü.,108
i̇stanbul rumeli üniversitesi,108
i̇stanbul rumeli̇ üni̇versi̇tesi̇,108
i̇stanbul sabahattin zaim ü.,109
i̇stanbul sabahattin zaim üniversitesi,109
"i̇stanbul sabahatti̇n zai̇m 
üni̇versi̇tesi̇",109
i̇stanbul sabahatti̇n zai̇m üni̇versi̇tesi̇,109
"i̇stanbul sağlik ve sosyal 
bi̇li̇mler myo (faruk saraç
tasarim myo)",110
"i̇stanbul sağlik ve sosyal bi̇li̇mler myo
 (faruk saraç tasarim myo)",110
"i̇stanbul sağlik ve sosyal bi̇li̇mler myo
(faruk saraç tasarim myo)",110
"i̇stanbul sağlik ve sosyal bi̇li̇mler myo 
(faruk saraç tasarim myo)",110
i̇stanbul sağlik ve sosyal bi̇li̇mler myo (faruk saraç tasarim myo),110
"i̇stanbul sağlik ve teknoloji̇ 
üni̇versi̇tesi̇",111
i̇stanbul sağlik ve teknoloji̇ üni̇versi̇tesi̇,111
i̇stanbul sağlik ve teknoloji̇ üni̇versi̇tesi̇***,111
i̇stanbul sağlık ve teknoloji ü.,111
i̇stanbul sağlık ve teknoloji üniversitesi,111
i̇stanbul teknik ü.,112
i̇stanbul teknik üniversitesi,112
i̇stanbul ticaret ü.,113
i̇stanbul ticaret üniversitesi,113
i̇stanbul ti̇caret üni̇versi̇tesi̇,113
i̇stanbul ti̇caret üni̇versi̇tesi̇  (i̇ngilizce),113
i̇stanbul yeni yüzyıl ü.,114
i̇stanbul yeni yüzyıl üniversitesi,114
"i̇stanbul yeni̇ yüzyil 
üni̇versi̇tesi̇",114
i̇stanbul yeni̇ yüzyil üni̇versi̇tesi̇,114
i̇stanbul ü.,115
i̇stanbul ü.-cerrahpaşa,115
i̇stanbul üniversitesi,115
i̇stanbul üniversitesi-cerrahpaşa,115
